N,P,K,temperature,humidity,ph,rainfall,label
62.54,56.32,32.82,33.16,82.55,5.99,216.86,rice
72.44,37.74,47.35,31.03,81.69,6.45,242.94,rice
73.01,49.8,31.08,32.05,88.02,5.86,205.68,rice
89.18,54.52,43.97,24.23,70.91,5.61,207.16,rice
85.5,46.66,46.28,22.66,75.62,5.69,178.0,rice
95.49,45.89,38.6,31.26,89.01,5.69,226.95,rice
78.89,37.26,47.72,32.1,87.81,5.73,168.7,rice
64.78,32.79,30.92,34.86,79.11,5.71,182.37,rice
88.53,56.92,31.12,26.19,82.4,6.46,192.54,rice
90.43,57.01,54.68,25.58,75.55,5.77,200.76,rice
82.45,48.99,40.81,31.65,73.76,6.02,174.24,rice
90.84,40.17,33.81,25.11,79.27,6.85,161.48,rice
79.75,40.48,45.67,33.96,77.07,6.21,211.06,rice
80.91,51.78,53.1,32.88,81.67,6.5,178.86,rice
77.1,56.91,36.47,26.43,71.55,5.76,208.12,rice
61.02,56.61,48.69,31.26,89.49,5.79,165.44,rice
64.32,53.4,32.56,31.32,89.72,5.56,198.11,rice
101.3,56.22,41.24,16.85,56.16,7.14,61.9,wheat
82.07,39.58,35.8,20.42,74.38,6.04,116.17,wheat
93.46,52.29,40.44,23.73,72.68,6.03,63.12,wheat
85.38,53.2,52.49,22.32,73.56,6.49,92.48,wheat
82.53,47.72,47.64,23.07,74.9,6.73,102.54,wheat
119.6,57.09,61.78,21.59,58.48,7.16,112.26,wheat
92.89,63.03,59.52,21.92,62.92,7.02,102.85,wheat
112.39,62.77,45.25,23.49,70.16,6.67,108.1,wheat
90.19,48.53,42.78,17.5,68.92,6.41,80.37,wheat
107.26,38.4,46.39,19.89,58.08,7.5,108.89,wheat
110.41,64.55,52.71,17.21,71.32,6.64,64.81,wheat
103.83,60.17,43.04,24.88,59.49,6.68,113.69,wheat
98.86,38.74,53.72,24.44,59.48,6.25,92.86,wheat
96.47,62.63,47.28,15.39,65.74,7.19,109.04,wheat
93.95,61.1,51.56,22.06,66.86,7.04,87.14,wheat
117.18,50.57,48.08,24.25,66.6,6.33,98.61,wheat
113.22,52.74,43.83,16.81,56.83,6.12,91.58,wheat
118.6,46.97,63.45,20.68,72.55,7.02,103.9,wheat
84.97,36.64,57.91,24.15,60.31,6.98,64.9,wheat
109.23,45.06,39.2,15.34,57.59,6.41,63.62,wheat
117.53,59.09,61.05,21.97,72.77,7.43,74.83,wheat
87.25,35.14,49.62,17.97,74.11,6.23,69.57,wheat
82.66,45.0,61.84,24.24,72.24,6.65,112.31,wheat
109.64,46.95,59.0,24.71,71.19,7.42,73.15,wheat
102.98,51.12,47.76,24.44,68.1,6.63,118.55,wheat
113.67,62.6,35.67,19.74,66.02,6.96,80.21,wheat
85.59,45.39,43.06,23.62,56.74,6.6,70.93,wheat
111.81,45.41,51.25,23.45,63.17,6.41,107.38,wheat
88.07,57.13,54.0,18.19,62.45,7.48,99.52,wheat
86.55,48.57,42.74,23.29,60.2,6.61,89.89,wheat
86.57,41.74,39.18,15.37,69.47,7.34,93.32,wheat
112.58,48.57,60.05,20.96,64.92,6.34,103.15,wheat
106.61,39.23,64.53,17.3,56.62,6.32,73.71,wheat
100.92,40.29,50.77,16.21,59.4,6.05,119.78,wheat
94.35,49.95,40.15,15.77,68.67,6.98,118.49,wheat
115.09,47.57,43.17,21.96,56.52,6.55,99.02,wheat
95.7,62.45,35.55,18.4,72.02,7.3,71.97,wheat
112.66,45.87,62.43,22.25,64.9,6.71,100.81,wheat
97.57,52.42,38.53,15.65,64.61,7.45,64.33,wheat
95.08,53.97,52.3,18.15,66.85,6.28,61.84,wheat
98.51,35.39,43.22,20.39,71.49,7.3,75.46,wheat
92.06,54.91,51.63,22.91,61.96,7.16,87.76,wheat
109.9,40.34,54.54,18.19,68.56,7.16,112.1,wheat
100.11,63.83,59.89,21.26,66.31,7.27,103.63,wheat
89.29,39.46,41.19,23.86,60.34,7.14,104.56,wheat
115.98,47.44,35.33,21.16,72.57,6.94,85.53,wheat
95.36,37.56,39.11,17.33,70.95,6.2,80.76,wheat
101.74,64.91,62.0,15.24,68.17,6.05,82.26,wheat
116.26,50.07,61.22,23.7,72.01,7.38,119.26,wheat
104.97,52.86,52.92,15.21,72.35,6.92,62.41,wheat
84.68,37.01,53.02,23.75,69.17,7.19,112.02,wheat
117.59,57.5,54.95,20.29,71.74,6.72,94.72,wheat
105.11,41.3,40.26,24.39,68.95,6.18,86.32,wheat
93.4,61.94,62.43,22.99,68.6,6.19,103.52,wheat
85.57,41.15,47.56,24.98,67.37,7.03,89.2,wheat
111.76,40.72,46.49,18.51,70.05,6.65,112.41,wheat
104.8,36.1,50.57,22.67,58.17,6.3,114.04,wheat
101.34,49.16,36.41,19.02,72.62,6.74,85.3,wheat
115.76,51.95,39.99,19.8,72.44,6.1,76.61,wheat
111.54,36.97,57.14,21.28,55.58,6.87,95.54,wheat
86.07,58.27,37.48,23.74,71.52,6.4,114.74,wheat
92.47,48.6,53.09,24.84,57.58,7.2,72.64,wheat
89.94,50.73,42.36,22.68,61.7,6.47,97.38,wheat
109.76,48.22,46.68,19.18,69.87,6.68,97.89,wheat
81.34,47.02,43.66,19.21,58.22,6.02,103.99,wheat
102.8,51.79,45.67,22.38,71.36,6.11,67.89,wheat
110.5,39.66,56.57,17.39,71.64,6.59,102.95,wheat
115.07,40.46,43.91,16.1,65.15,6.72,114.54,wheat
93.68,60.85,51.99,18.55,55.13,6.9,70.78,wheat
112.85,63.38,49.28,17.87,60.74,6.44,74.25,wheat
84.43,46.2,54.91,17.96,67.34,7.04,118.28,wheat
113.86,43.12,63.1,17.34,74.62,7.29,70.86,wheat
85.1,54.32,56.98,15.42,67.64,7.17,111.26,wheat
95.89,47.26,41.45,15.18,60.2,6.06,89.54,wheat
111.89,35.76,35.94,24.88,67.68,6.72,74.83,wheat
86.0,39.68,42.87,19.28,65.8,6.16,112.24,wheat
89.17,56.48,52.85,18.84,70.6,6.36,86.72,wheat
108.89,54.77,36.54,21.8,57.14,7.48,90.89,wheat
108.8,35.81,49.89,17.18,70.22,6.21,81.55,wheat
105.65,41.66,52.91,24.5,65.83,6.75,95.58,wheat
107.76,41.93,45.03,22.86,74.26,6.93,69.81,wheat
101.71,55.16,58.13,15.89,61.84,7.05,83.46,wheat
90.07,35.59,38.2,19.18,67.65,6.84,118.16,wheat
93.83,38.12,37.25,23.79,73.64,6.01,75.49,wheat
87.26,59.0,56.85,24.45,57.05,6.49,99.4,wheat
116.34,40.36,49.86,19.67,73.74,6.78,79.51,wheat
103.34,54.58,55.65,21.13,68.76,6.13,106.41,wheat
96.03,42.15,48.04,16.67,56.36,6.53,67.85,wheat
98.48,37.98,42.39,24.91,61.02,6.05,118.19,wheat
117.89,42.3,59.57,17.32,69.16,6.12,87.23,wheat
86.13,56.67,58.98,24.43,56.35,6.6,74.16,wheat
103.45,60.67,55.84,21.5,66.64,6.2,64.41,wheat
100.24,59.91,43.16,21.08,61.92,6.85,70.19,wheat
104.46,46.92,52.71,20.13,67.42,7.03,91.19,wheat
80.72,55.04,45.83,17.31,55.91,7.2,80.22,wheat
114.88,41.15,37.75,16.77,72.43,6.3,109.73,wheat
117.28,43.79,62.52,17.2,74.47,6.25,85.85,wheat
102.61,61.89,39.1,16.86,74.38,6.16,74.92,wheat
107.87,35.39,63.51,22.8,69.99,6.95,97.03,wheat
116.9,37.57,48.38,18.5,57.6,7.06,102.41,wheat
76.68,50.57,45.76,29.59,74.13,6.58,73.09,maize
76.7,49.38,49.7,23.19,69.75,5.81,72.35,maize
71.47,35.77,46.8,21.74,62.07,6.87,105.31,maize
99.46,45.24,50.65,24.07,60.93,5.85,72.48,maize
96.55,46.41,42.08,23.27,61.99,6.84,73.6,maize
88.99,46.96,55.57,19.27,70.49,6.08,97.97,maize
103.77,52.41,42.03,25.69,68.23,7.14,82.49,maize
102.23,51.01,64.01,20.59,58.7,6.32,98.84,maize
93.41,53.24,47.01,25.44,58.48,6.26,63.27,maize
104.73,57.95,56.2,25.8,56.97,6.01,84.38,maize
78.23,59.39,66.4,19.82,68.21,6.23,61.68,maize
74.48,56.54,59.53,18.74,70.29,7.03,63.13,maize
80.79,63.67,55.99,27.37,60.3,7.19,105.32,maize
72.28,35.55,49.73,23.52,55.42,6.32,66.96,maize
91.25,40.87,49.99,18.7,56.64,6.43,86.62,maize
107.46,35.23,60.08,29.94,74.36,6.81,80.55,maize
71.57,54.42,69.82,18.69,60.91,7.04,77.37,maize
74.88,61.94,59.86,26.34,70.38,6.63,104.99,maize
88.09,42.3,56.73,29.8,67.49,6.35,61.09,maize
107.36,62.81,61.92,20.87,62.64,6.38,93.19,maize
82.65,36.81,53.96,19.71,59.11,6.77,108.17,maize
90.29,63.03,41.8,19.46,57.43,5.8,88.01,maize
71.66,45.55,56.87,21.64,67.3,6.67,106.84,maize
75.93,38.04,68.73,19.21,70.49,6.3,62.61,maize
109.47,49.58,45.26,26.31,67.88,6.91,80.94,maize
108.6,42.7,60.7,18.75,65.61,5.93,73.01,maize
70.2,43.55,46.03,24.11,55.84,6.62,96.54,maize
108.07,44.22,56.07,29.96,74.37,6.47,109.06,maize
95.56,59.09,42.9,27.77,70.97,6.7,72.83,maize
104.72,51.17,53.51,25.38,60.86,5.89,92.71,maize
88.19,44.34,62.68,21.68,74.6,6.61,69.9,maize
90.62,53.31,50.43,25.49,67.04,6.59,88.27,maize
89.55,56.48,59.95,24.32,66.65,6.58,83.2,maize
96.67,43.18,63.86,23.11,69.96,6.64,108.6,maize
75.59,47.41,67.82,19.57,71.24,6.75,90.43,maize
71.2,38.66,47.04,28.64,68.13,6.93,77.48,maize
82.32,40.43,51.98,23.4,57.56,6.18,65.7,maize
98.19,55.43,44.57,20.34,61.77,6.96,67.56,maize
78.07,40.44,69.77,22.41,73.56,6.5,71.27,maize
96.94,50.75,67.81,22.97,59.49,5.91,72.55,maize
108.8,56.27,56.2,27.93,62.44,5.88,102.53,maize
73.76,38.21,65.26,26.8,63.64,6.27,88.06,maize
96.9,52.02,55.63,27.23,63.79,6.9,86.17,maize
87.75,42.7,58.71,18.13,67.26,6.79,65.74,maize
104.73,63.89,42.67,22.99,73.86,6.9,103.01,maize
77.09,49.51,62.66,23.78,59.81,6.52,96.14,maize
97.71,59.18,43.83,18.23,57.43,6.42,63.38,maize
103.52,51.51,64.78,21.12,58.95,6.01,95.39,maize
107.78,36.3,63.46,27.12,72.74,6.26,87.18,maize
97.33,53.99,61.26,19.65,67.92,6.41,64.09,maize
89.89,63.54,41.08,24.42,60.72,5.92,82.92,maize
94.71,53.05,49.09,20.58,71.32,6.11,84.23,maize
104.76,59.58,47.89,18.15,72.23,6.64,68.29,maize
92.82,61.53,50.8,20.89,71.93,6.83,107.28,maize
71.22,41.84,42.63,29.71,73.38,7.2,102.5,maize
107.24,41.36,68.11,27.62,60.04,7.11,93.45,maize
97.58,53.33,56.61,29.51,70.1,6.7,83.11,maize
97.06,47.33,49.17,23.85,64.21,6.39,80.59,maize
78.63,60.2,51.91,19.32,71.84,6.69,92.55,maize
96.36,62.0,53.42,24.58,69.57,6.9,87.27,maize
85.75,45.6,58.02,23.45,70.53,5.97,63.11,maize
96.05,42.11,55.47,28.13,68.12,6.37,85.63,maize
74.26,58.42,67.58,19.18,58.55,6.98,100.32,maize
96.31,43.24,54.91,23.86,65.9,6.34,82.96,maize
109.98,59.68,69.76,19.8,74.69,6.6,62.6,maize
71.93,47.71,65.54,21.9,73.75,6.62,99.31,maize
109.09,55.03,46.26,26.85,55.86,6.06,70.07,maize
86.28,37.87,67.92,23.71,58.3,6.31,72.93,maize
104.83,53.72,43.49,22.51,57.63,6.27,68.24,maize
101.3,48.55,64.52,22.73,69.52,5.84,76.51,maize
92.68,52.6,51.42,23.51,71.36,5.83,97.84,maize
99.54,40.04,66.34,27.42,59.27,6.96,85.97,maize
105.14,57.11,66.04,28.71,65.12,6.18,70.24,maize
86.17,60.88,64.18,29.46,71.81,6.53,103.89,maize
83.08,41.5,63.7,27.44,69.66,6.22,103.98,maize
96.7,37.87,49.14,21.78,65.84,7.12,103.53,maize
102.31,35.71,42.43,26.26,66.81,6.16,71.94,maize
100.49,54.26,52.09,23.25,65.17,6.4,82.56,maize
101.91,53.21,45.21,21.06,60.95,7.02,109.25,maize
87.42,51.4,60.85,28.09,66.3,6.98,98.6,maize
102.71,41.96,50.38,18.46,68.78,6.06,61.36,maize
74.81,46.73,69.27,28.82,72.47,6.92,63.26,maize
91.78,52.83,59.23,23.54,67.73,6.44,83.2,maize
70.23,49.9,64.67,25.65,70.22,6.48,105.46,maize
82.98,64.63,43.98,25.91,58.2,5.99,86.94,maize
84.66,39.09,65.86,28.74,64.23,5.91,84.89,maize
85.85,55.85,67.68,25.64,55.19,6.82,65.27,maize
97.82,47.13,54.61,25.37,59.93,6.5,92.84,maize
85.54,47.85,58.19,18.8,69.53,6.41,101.11,maize
87.95,56.53,62.94,24.22,74.84,6.82,79.02,maize
79.5,55.77,45.25,19.8,56.98,6.87,98.78,maize
84.93,64.74,55.08,26.85,63.03,6.02,108.22,maize
79.09,38.85,51.96,24.15,71.0,6.65,70.19,maize
72.93,38.12,44.39,26.16,59.08,5.99,86.17,maize
94.14,56.73,51.03,18.5,66.1,6.85,74.36,maize
96.73,52.35,42.05,19.02,69.66,6.72,99.64,maize
94.78,43.22,40.77,26.6,67.32,7.14,88.88,maize
88.54,37.38,44.05,18.87,58.76,5.9,91.73,maize
85.19,37.57,68.89,18.86,62.11,5.88,99.9,maize
104.53,61.83,56.49,18.15,70.68,6.2,79.8,maize
126.6,64.3,64.08,28.41,66.55,6.94,86.06,cotton
111.32,38.32,57.16,25.72,65.29,6.08,108.8,cotton
96.32,47.68,55.38,29.1,61.47,7.12,66.28,cotton
117.84,36.26,48.8,28.11,69.12,6.48,60.85,cotton
121.73,57.2,67.95,31.77,54.01,6.0,98.51,cotton
102.67,62.54,51.91,31.06,52.19,6.77,100.36,cotton
124.29,43.4,42.61,28.65,67.08,6.07,66.01,cotton
126.25,60.75,58.51,27.18,58.78,6.41,73.28,cotton
101.08,43.77,43.42,34.88,66.94,7.06,60.88,cotton
129.34,62.32,50.36,29.54,67.86,6.09,74.67,cotton
95.63,57.62,55.22,31.88,51.25,7.26,98.66,cotton
98.08,59.15,66.23,26.41,67.67,6.01,85.9,cotton
97.37,35.54,54.81,29.86,58.97,6.37,77.4,cotton
125.76,63.88,61.07,25.28,60.21,7.11,78.59,cotton
116.17,56.8,69.78,30.05,62.53,6.47,60.07,cotton
96.08,44.14,43.94,34.64,68.53,6.15,74.99,cotton
107.61,59.88,48.24,28.84,50.38,6.54,92.32,cotton
114.61,43.45,51.84,25.39,59.54,6.41,108.71,cotton
93.34,61.18,52.65,25.31,63.75,7.26,102.35,cotton
125.3,38.38,52.33,28.88,64.45,6.47,61.18,cotton
122.14,56.11,67.23,26.6,63.85,7.18,104.93,cotton
110.21,51.22,61.42,25.23,52.69,7.34,99.16,cotton
128.69,37.9,58.24,32.56,55.99,6.65,99.02,cotton
106.71,42.26,49.28,29.59,57.17,7.36,82.9,cotton
129.36,35.37,64.71,27.89,66.09,6.57,79.9,cotton
116.72,49.06,68.65,34.0,55.58,7.45,75.15,cotton
115.39,44.04,64.64,26.16,54.21,6.13,63.28,cotton
96.64,52.95,40.05,34.56,69.15,7.03,71.41,cotton
125.28,43.92,59.09,28.14,50.18,6.74,72.33,cotton
107.1,44.0,41.53,33.88,69.96,6.58,84.2,cotton
96.49,57.3,47.73,31.03,63.54,6.95,97.37,cotton
90.5,36.44,41.79,33.27,66.57,7.06,83.69,cotton
112.39,62.09,58.11,34.84,55.89,6.01,62.89,cotton
111.1,60.57,60.6,27.88,50.29,6.25,107.89,cotton
118.77,55.03,43.43,34.61,64.76,7.07,107.14,cotton
125.61,52.8,51.52,28.89,66.68,7.0,99.26,cotton
93.18,61.77,53.69,28.86,64.81,7.45,109.57,cotton
119.26,40.56,51.07,28.4,52.86,7.14,87.22,cotton
97.5,37.37,43.63,30.41,65.07,7.43,108.14,cotton
124.33,42.19,52.57,26.54,65.38,7.05,63.78,cotton
122.76,58.84,62.54,30.54,63.17,6.45,78.28,cotton
111.63,36.04,42.13,30.42,65.32,6.16,71.27,cotton
118.41,52.48,42.41,32.62,66.92,7.17,69.79,cotton
102.57,64.86,50.64,33.34,62.27,6.97,67.04,cotton
108.85,60.67,68.25,29.4,51.77,6.07,91.12,cotton
122.87,50.64,60.06,28.02,59.75,6.54,99.07,cotton
108.37,36.91,60.36,27.59,51.55,7.44,88.91,cotton
104.31,59.94,50.86,26.95,58.15,6.75,67.35,cotton
109.77,52.97,57.81,25.58,58.14,6.65,100.56,cotton
123.13,38.45,40.3,28.42,51.32,6.69,91.8,cotton
103.41,37.82,59.08,27.7,56.98,6.31,79.41,cotton
96.95,62.29,67.4,34.66,52.22,6.55,93.71,cotton
118.48,55.08,58.38,30.58,66.16,6.55,73.0,cotton
123.04,59.88,66.21,28.47,68.95,6.08,77.26,cotton
94.03,61.37,61.72,30.8,51.45,7.15,105.87,cotton
99.59,52.15,43.62,26.39,69.1,6.62,74.53,cotton
95.68,50.52,67.07,29.44,60.45,7.23,83.5,cotton
103.92,47.91,41.99,31.26,55.99,7.28,104.51,cotton
108.01,44.51,56.02,29.89,51.54,6.32,95.39,cotton
119.95,48.04,44.26,29.02,60.01,6.99,63.11,cotton
116.05,58.22,40.35,34.94,65.89,6.71,67.37,cotton
114.84,53.06,52.66,33.8,64.14,7.32,60.39,cotton
104.09,61.78,48.85,31.23,51.0,6.32,91.55,cotton
123.66,48.3,54.58,30.69,51.46,7.02,82.38,cotton
108.85,53.21,57.32,31.21,58.06,6.91,66.71,cotton
129.16,53.94,41.31,27.01,55.91,6.44,107.9,cotton
115.37,52.75,43.69,28.95,54.65,6.2,86.48,cotton
95.05,56.08,56.76,25.39,55.62,6.98,72.09,cotton
117.05,42.12,50.3,29.76,66.07,7.11,85.03,cotton
103.0,50.37,61.88,30.43,68.58,6.47,93.98,cotton
117.45,38.13,59.57,27.28,58.1,6.97,63.81,cotton
92.79,46.54,65.37,34.64,68.12,6.59,73.74,cotton
97.0,49.63,60.77,34.09,56.43,7.07,100.35,cotton
124.23,54.57,52.9,32.22,59.53,6.3,82.98,cotton
99.09,63.52,60.19,30.33,54.52,7.34,87.33,cotton
123.48,53.02,48.26,33.7,62.81,6.43,81.64,cotton
101.17,57.31,49.19,26.31,69.58,6.55,62.19,cotton
115.72,50.19,63.67,32.91,62.07,6.09,68.29,cotton
117.77,54.02,53.39,26.25,57.16,6.17,82.28,cotton
110.51,37.13,63.95,32.94,62.96,6.77,70.46,cotton
102.21,42.63,64.67,27.76,52.46,6.4,62.5,cotton
98.51,45.86,65.73,33.77,67.77,7.25,102.18,cotton
91.33,49.17,67.5,34.44,60.06,6.02,109.06,cotton
102.16,36.37,52.93,26.49,58.99,6.57,99.66,cotton
116.13,39.2,49.57,29.63,61.72,6.51,102.69,cotton
127.53,43.3,57.47,34.81,62.5,6.03,72.1,cotton
124.85,64.15,51.14,29.83,51.44,6.19,108.03,cotton
120.64,44.94,58.03,33.64,63.65,6.62,69.85,cotton
121.54,49.46,61.17,30.89,54.84,6.74,107.57,cotton
116.6,40.88,60.65,28.75,64.28,6.61,109.74,cotton
100.41,53.32,51.24,27.86,66.45,6.8,95.59,cotton
126.29,43.42,45.01,27.03,66.08,6.89,109.06,cotton
116.83,41.21,52.92,32.62,61.05,6.01,88.48,cotton
112.42,50.5,44.28,28.87,60.4,6.7,72.98,cotton
94.44,35.17,66.7,30.11,52.86,7.45,81.85,cotton
107.88,35.23,50.38,29.92,65.51,6.78,89.68,cotton
108.41,41.57,44.63,30.77,55.43,7.02,63.65,cotton
124.58,36.1,40.76,33.66,59.93,6.47,91.12,cotton
111.87,38.24,59.37,34.81,55.69,7.16,109.06,cotton
105.22,45.17,59.11,29.08,52.68,7.16,69.51,cotton
131.7,33.2,46.82,23.2,76.07,6.15,116.05,sugarcane
136.32,49.14,49.92,31.73,75.06,7.0,118.54,sugarcane
137.75,30.0,36.26,33.89,68.88,6.34,199.9,sugarcane
138.41,40.41,45.62,27.64,82.18,5.98,139.4,sugarcane
120.86,43.06,44.29,25.36,78.54,5.83,177.34,sugarcane
139.09,31.37,50.82,27.65,81.76,6.03,182.6,sugarcane
130.29,54.33,52.65,31.4,82.18,6.06,187.22,sugarcane
106.47,35.65,30.3,22.12,79.97,5.6,199.79,sugarcane
119.08,37.6,46.85,29.66,73.78,6.05,131.73,sugarcane
128.73,37.6,31.3,29.97,77.21,6.2,113.63,sugarcane
109.89,35.76,43.72,30.29,68.21,6.58,147.01,sugarcane
125.62,30.04,37.19,25.15,78.47,6.49,121.71,sugarcane
126.66,48.23,37.67,31.28,68.59,6.56,112.02,sugarcane
106.51,54.17,38.82,23.19,78.88,5.51,142.44,sugarcane
122.6,35.61,45.53,24.59,69.59,5.83,180.54,sugarcane
130.87,46.58,38.35,33.41,67.35,6.49,160.96,sugarcane
119.96,48.55,48.32,31.6,68.31,6.23,138.15,sugarcane
100.48,51.21,40.11,22.18,65.04,5.51,168.89,sugarcane
100.36,40.57,31.71,25.23,79.37,6.71,130.88,sugarcane
114.28,37.57,49.59,24.79,79.65,6.66,111.29,sugarcane
137.05,38.13,37.14,25.52,75.3,6.32,178.79,sugarcane
109.15,47.82,40.82,25.22,68.23,5.6,166.14,sugarcane
125.37,50.42,47.14,22.81,66.67,6.65,178.61,sugarcane
108.88,34.54,38.31,27.97,65.38,6.38,113.5,sugarcane
112.87,39.27,31.41,31.53,68.31,6.67,185.34,sugarcane
133.92,52.55,39.35,29.89,82.82,6.63,165.76,sugarcane
129.15,50.17,53.61,30.75,69.83,6.7,160.71,sugarcane
103.82,54.62,46.04,23.05,72.09,6.28,166.22,sugarcane
117.15,48.86,46.79,34.37,67.11,5.71,187.8,sugarcane
101.17,39.83,45.81,32.9,69.45,6.51,162.82,sugarcane
119.24,44.77,34.97,32.47,75.38,6.43,162.29,sugarcane
126.5,46.53,40.46,32.7,77.16,6.61,199.16,sugarcane
104.74,31.96,48.77,34.13,69.91,5.75,178.11,sugarcane
111.56,43.61,32.53,29.08,66.15,5.79,149.81,sugarcane
115.91,47.73,36.95,24.6,72.82,6.84,173.67,sugarcane
136.78,34.18,36.91,30.02,69.68,6.62,145.03,sugarcane
139.73,49.52,40.8,31.66,69.39,6.86,130.6,sugarcane
101.8,44.59,54.51,31.59,84.2,6.64,163.72,sugarcane
130.44,53.81,31.69,28.78,77.33,6.4,193.54,sugarcane
